json_path,conversion factor,column,,,,
,,farm_id,,,,farm_id
,,emissions_total_tCO2e,,,,emissions_total_value
,0.001,emissions_per_fpcm_tCO2e,,,,emissions_total_unit
summary.dissaggregation_totals.0.CO2.metric_tonnes_CO2.0,1,CO2_tCO2e,,,,emissions_per_fpcm_value
,,N2O_tCO2e,,,,emissions_per_fpcm_unit
,,CH4_tCO2e,,,,
,,,,,,CO2_tonnes_CO2
,,,,,,CO2_tonnes_CO2e
,,,,,,N2O_tonnes_N2O
,,,,,,N2O_tonnes_CO2e
,,,,,,CH4_tonnes_CH4
,,,,,,CH4_tonnes_CO2e
,,,,,,
,,,,,,energy_CO2
,,,,,,energy_N2O
,,,,,,energy_CH4
,,,,,,energy_total_CO2e
,,,,,,energy_total_CO2e_per_fpcm
,,,,,,
,,,,,,enteric_CO2
,,,,,,enteric_N2O
,,,,,,enteric_CH4
,,,,,,enteric_total_CO2e
,,,,,,enteric_total_CO2e_per_fpcm
,,,,,,
,,,,,,feed_CO2
,,,,,,feed_N2O
,,,,,,feed_CH4
,,,,,,feed_total_CO2e
,,,,,,feed_total_CO2e_per_fpcm
,,,,,,
,,,,,,fertiliser_CO2
,,,,,,fertiliser_N2O
,,,,,,fertiliser_CH4
,,,,,,fertiliser_total_CO2e
,,,,,,fertiliser_total_CO2e_per_fpcm
,,,,,,
,,,,,,grazing_CO2
,,,,,,grazing_N2O
,,,,,,grazing_CH4
,,,,,,grazing_total_CO2e
,,,,,,grazing_total_CO2e_per_fpcm
,,,,,,
,,,,,,manure_CO2
,,,,,,manure_N2O
,,,,,,manure_CH4
,,,,,,manure_total_CO2e
,,,,,,manure_total_CO2e_per_fpcm
,,,,,,
,,,,,,transport_CO2
,,,,,,transport_N2O
,,,,,,transport_CH4
,,,,,,transport_total_CO2e
,,,,,,transport_total_CO2e_per_fpcm
,,,,,,
,,,,,,cft_version
